post,is_stress,stress_kind
"Everyday that passes by, it gets more and more tough.",1,Everyday Decision Making
Im nervous about starting work Wednsday.,1,Everyday Decision Making
"I know that there is a lot going on with the whole house situation, but he seems hard core stressed.",1,Everyday Decision Making
With so many lay off's everybody worried about their jobs.,1,Everyday Decision Making
we couldnt even sit through dinner without them fighting.,1,Everyday Decision Making
"Its been on my mind a lot today, the suspense is killing me.",1,Everyday Decision Making
the working days is going to end soon.,0,Everyday Decision Making
Came home to a very cold home so we took showers to warm up.,0,Everyday Decision Making
I can't do everything I have lined up on my plate?,1,Everyday Decision Making
"So when that machine has problems, as now, work is impossible.",1,Everyday Decision Making
"I'm especially conflicted at this point because I don't where to go with my life, especially job related.",1,Everyday Decision Making
I got into a very irritable mood yesterday.,1,Everyday Decision Making
The constant milling over this subject has really got to end soon.,1,Everyday Decision Making
"With all the crap I have to deal with at home and work and school, carrying these issues on my shoulder isnt the most comforting thing.",1,Everyday Decision Making
"No more than three hours after finally picking something to major in I'm already getting shit about it. """,1,Everyday Decision Making
It was embarrassing to drive and I was constantly worried about getting a ticket.,1,Everyday Decision Making
"grandpa took us out to dinner, it was hard.",1,Everyday Decision Making
Like.. I feel like I absolutely cannot relax if there's something that needs to be done around the house.,1,Everyday Decision Making
"People came, cooked, ate and left and we still hadn't got ourselves organised.",1,Everyday Decision Making
TOO much work loads and no appetite to eat my dinner at all.,1,Everyday Decision Making
I seriusly have nothing to eat and I'm too lazy and broke to go out and get something. maybe for dinner.,1,Everyday Decision Making
I got too much shit on my mind and none of the usual way to relieve the stress is working.,1,Everyday Decision Making
i feel so trapped in my house even though im usually here most of the time.,1,Everyday Decision Making
Their schedules lately had made it hard for them to get even this small amount of time together.,1,Everyday Decision Making
I just have a hard time letting everyone know what's going on in my life.,1,Everyday Decision Making
"seriously, I look back on the things I HAVE to accomplish each day, and it's insane!",1,Everyday Decision Making
Same stress and hecticness as always.,1,Everyday Decision Making
It is so hard to handle all the problems and the situations through my life.,1,Everyday Decision Making
That's what happens everytime I get stressed.,1,Everyday Decision Making
"Morning sickness, weird food cravings, wired up emotions.",1,Everyday Decision Making
I've been working too much and not spending enough time with my friends.,1,Everyday Decision Making
Work just is way too time consuming.,1,Everyday Decision Making
"However, I believe it has gone from writing to cooking. I've been making relatively complex meals and putting thought into their presentation.",0,Everyday Decision Making
For some reason whenever I start working on this school stuff and looking for an apartment I get in a pissed off mood.,1,Everyday Decision Making
Life is ridiculously crowding me and finding time to eat has even become difficult.,1,Everyday Decision Making
i realized that i really have no self control when it comes to me finishing food.,1,Everyday Decision Making
"No matter how hard I try, I just can't get enough time in the day to do everything.",1,Everyday Decision Making
"Who cooks dinner? usually him, but i am trying.",0,Everyday Decision Making
"Currently, my schedule is really hectic for me.",1,Everyday Decision Making
"Dinner At The Money Table I've got a day and a reason, Why I should not believe in..anything, anymore.",1,Everyday Decision Making
"Everything is changing, nothing is stable, nothing makes sense, and I have way Too Much To Do, all the time. AND",1,Everyday Decision Making
"well, i have to take a shower and then freeze when i get out because it's like in the 'teens outside and really super cold in my house.",1,Everyday Decision Making
"Either way, my bathroom is still freezing and I dread taking a shower.",1,Everyday Decision Making
There's just way too much on my mind these days and I'm having such a hard time adjusting to change and new situations.,1,Everyday Decision Making
wow i can tell my new job is going to be boring.,0,Everyday Decision Making
I can't decide what I want for dinner.,1,Everyday Decision Making
"Well, this is my stress currently thats goin through my mind every second of everyday sooo far.",1,Everyday Decision Making
since i have so many things wrong with my computer i cant even get to it.,1,Everyday Decision Making
"decisions, decisions! off to do laundry and clean for a bit, my house is a mess since we had to move things around to put in the flooring.",1,Everyday Decision Making
i'm cleaning out my closet of a lot of shit that's accumulated over the years and i've lost all amor for.,1,Everyday Decision Making
my contracting journey has been quite stressful.,1,Everyday Decision Making
its so hard for me to eat or even drink.,1,Everyday Decision Making
"it sucks because i'm pretty much busy all the time from now on, argh.",1,Everyday Decision Making
"the rest of my day i've spent looking for apartments, all of which seem to be a bit pricey.",1,Everyday Decision Making
"As usual, changing that on checks will be the hardest part.",1,Everyday Decision Making
"Too intelligent to lay around the house all day, they become neurotic if left alone for long periods.",1,Everyday Decision Making
"It's emotionally stressful being sick for this long, not to mention that being stuck at home every day by yourself gets old real fast.",1,Everyday Decision Making
i couldnt handle having to go for hours and hours twice a week.,1,Everyday Decision Making
"Having trouble focusing today, its probably a bit of a problem, work is difficult to focus on with the lack of focus.",1,Everyday Decision Making
Another stressful factor for my everyday wear and tear.,1,Everyday Decision Making
"So yeah, our schedules conflict so much, it's gonna be really hard finding time to see each other.",1,Everyday Decision Making
This puts me two full weeks behind already and is a bit stressful.,1,Everyday Decision Making
"I simply don't know how I feel about everything that's happening in my life, making it hard to rationalize and internalize everything.",1,Everyday Decision Making
it's also everyday that I realize change takes time.,0,Everyday Decision Making
I am massively frustrated with just about every aspect of my life from family to school to boys to friends to work to you name it basically.,1,Everyday Decision Making
A lot of shit has happened to me since. I still haven't gotten my car fixed.,1,Everyday Decision Making
I am really stressed about moving and starting my new job.,1,Everyday Decision Making
"Granted, I didn't eat breakfast, but that's because even though I feel hungry, my stomach is kind of unsettled and I'd rather skip the oatmeal this morning.",0,Everyday Decision Making
Daily grind seems to be getting at me.,1,Everyday Decision Making
i dont like being tired all day.,0,Everyday Decision Making
"I already knew I had a hard time making good food choices when I'm lonely or depressed, like skipping meals or eating too much at one meal.",1,Everyday Decision Making
Work was hectic and crazy for the whole day.,1,Everyday Decision Making
I always get so darn stressed about things.,1,Everyday Decision Making
"Lately, I've been feeling like my emotions conflict with my actions a lot.",1,Everyday Decision Making
"pretty much for the past two weeks, i've been struggling with finding enough time for everything, and stressing out in the process.",1,Everyday Decision Making
"Everyday is a struggle between what I want to say, and what I should keep to myself.",1,Everyday Decision Making
"It makes me sad that I have to focus and try really hard to finish a meal, and usually I can't even do that.",1,Everyday Decision Making
We had to pack up everything in our living room because we had carpet cleaners coming.,1,Everyday Decision Making
It has been a very hard week. I have had to admit to my own problems and I have had to set boundaries with my family.,1,Everyday Decision Making
"He was waiting to meet with Gerard for their weekly 'check up' in the coffee shop, though he was late and Frank had already downed two cups.",1,Everyday Decision Making
Even a phone call away its still crazy to think of all the changes life constantly and consistantly throws at you.,1,Everyday Decision Making
It's been exhausting trying to maintain a normal day when your mind is consumed with one thought.,1,Everyday Decision Making
"I've been dragging around the house all weekend, muttering things like, ""Needs more tension.",1,Everyday Decision Making
"My hours prevent me from going at normal, after work, times.",1,Everyday Decision Making
the thought of food made me feel sick. lately,1,Everyday Decision Making
I am stress about all the stuff going on in my life.,1,Everyday Decision Making
"Our daily lives can easily become filled with stress, pressure, and confusion.",1,Everyday Decision Making
"I'm sorry that it freaks me out when I hear you are out to dinner with my mom and my mom only, and no one understands why.",1,Everyday Decision Making
I worry about getting into college just about everyday now.,1,Everyday Decision Making
"My car still hasn't been fixed, it really sucks.. I've really been missing how my life used to be .. yeah",1,Everyday Decision Making
"Its like, two weeks out of every month I get incredibly upset with life.",1,Everyday Decision Making
"What and how am I going to do? Seriously, I can't foresee my future and I'm worrying every now and then.",1,Everyday Decision Making
when i start to stress about work i eat.,1,Everyday Decision Making
im not gonna accomplish anything in my room all the time.,1,Everyday Decision Making
i think im just stressed out cuz of the all the things i have to do.,1,Everyday Decision Making
"I've got lots of work, and no motivation to do it.",1,Everyday Decision Making
I get super stressed up when I can't meet deadlines.. and that happened alot.,1,Everyday Decision Making
im just getting more and more annoyed at the situation every day.,1,Everyday Decision Making
"So its hard to take care of them all, since they work and fixing up their freshly built house.",1,Everyday Decision Making
I look forward to Christmas and quail at how fast the days are passing me by.,0,Everyday Decision Making
i always find myself having to limit myself at times from doing so. and,0,Everyday Decision Making
"now my laptop still isn't working properly, so I have to bring it BACK in, which is becoming a real bitch.",1,Everyday Decision Making
"I'm always having to do something, or I get home so late that all I have time for is dinner before going to bed.",1,Everyday Decision Making
"making breakfast, lunch and dinner before i leave the house is weird. and time consuming.",0,Everyday Decision Making
Everyday life is usually too chaotic for you.,1,Everyday Decision Making
"i think im gonna clean my room today too, it needs to be done badly.",0,Everyday Decision Making
"I've been trying to get ahold of the accountant for our old apartment to pay them, and no one will call me back.",1,Everyday Decision Making
he wouldn't even start his meals until the potatoes came.,0,Everyday Decision Making
"It was half true, but really I had stuff to do at home that I never got to do because I was working so much.",1,Everyday Decision Making
Everyday it is harder and harder to wake up because I havent been able to fall into a routine.,1,Everyday Decision Making
"I've got a number of big decisions to make soon, as well as a lot of work that I need to get accomplished.",1,Everyday Decision Making
"I had to leave early to let them work, so I am loitering at a starbucks until class at noon.",0,Everyday Decision Making
i have to clean my room soon.,0,Everyday Decision Making
I just find it difficult to be motivated about work that I either don't fully understand or just deem to be a waste of time.,1,Everyday Decision Making
everyday life is so exhausting that i can't control it. only to pick up,1,Everyday Decision Making
"I really have a lot on my mind, but I can't seem to sort out my thoughts.",1,Everyday Decision Making
with the encounter looming there was a lot of work to do.,1,Everyday Decision Making
"hm, dinner with christopher the night before last was hard.",1,Everyday Decision Making
work always has to come before relaxation,1,Everyday Decision Making
all it does is stress me out and i can't get my shit done on time.,1,Everyday Decision Making
"they're holding the house for us to make a decision, which seems to be very difficult.",1,Everyday Decision Making
"I was stressed today, trying to get everything done.",1,Everyday Decision Making
its hard when i see him every day and i feel like i would expect him to be too many things to me at once.,1,Everyday Decision Making
I'm constantly worrying about what comes after my show closes.,1,Everyday Decision Making
"iam going to be really busy, working all christmas week..b.l.a.h.",1,Everyday Decision Making
"Seems like I am pretty stressed lately, eh, I guess I just have a lot on my mind.",1,Everyday Decision Making
so today i have no plans except for the nagging complaints from my mother that i haven't finished cleaning out my room yet.,1,Everyday Decision Making
its torture turning over everyday.,1,Everyday Decision Making
Too much to get done too much to deal with.,1,Everyday Decision Making
"Today I need to clean my room, it's an absolute mess, even by my standards.",1,Everyday Decision Making
"Okay, so Im bad at updating. I cant update everyday cause sometimes i just dont have anything to say.",0,Everyday Decision Making
"Today is gonna be crazy, I have so much stuff to do.",1,Everyday Decision Making
sooooo we went to collina's after having huge debates and fights over what to eat for dinner.,1,Everyday Decision Making
lol i need to start saving Then went to work which was the most boring day at work i have EVER experienced.,1,Everyday Decision Making
Apart of me I can't have a proper meal at work.,1,Everyday Decision Making
Today was such I stressed out day.,1,Everyday Decision Making
"Holy cow, band camp is soon and I hate everything associated with it, except the food.",1,Everyday Decision Making
There's just not enough time in the day for me to get stuff done.,1,Everyday Decision Making
"I was sooo frustrated. Because okay, it's stressful enough to be responsible for finding almost everything all week.",1,Everyday Decision Making
It was a challenge everyday of our life of what to cook tomorrow Quite fun but washing up is such tiring.,0,Everyday Decision Making
Posting every day is hard.,1,Everyday Decision Making
i've been thinking a lot lately and it seems to me that my priorities aren't in the right place.,1,Everyday Decision Making
No idea what I'm going to cook for dinner.,1,Everyday Decision Making
Life is tough these days and we're all forced to be more serious than we should.,1,Everyday Decision Making
If I'm too busy to update then I always get a mental block when I return.,1,Everyday Decision Making
I just don't ever feel like it's worth getting up to lie around the house all day.,1,Everyday Decision Making
"SO now I'm stressed as hell, trying to figure out what I'm going to do with the rest of my life.",1,Everyday Decision Making
my life is starting to get really complicated again and it's beginning to stress me out.,1,Everyday Decision Making
"given that i need to go home to fix my car get clothes and what not, i dont like being called last minute to be used as the driver.",1,Everyday Decision Making
"I am taking a day off soon, from talking that is.",0,Everyday Decision Making
"Gotta go tho, cuz the rents are coming up and i gotta clean my room and get ready and all to meet them!",0,Everyday Decision Making
i wake up this morning. and my stomach ache is still around and its fucking horrible.,1,Everyday Decision Making
After dinner I didn't know what to do.,0,Everyday Decision Making
My parents were driving me insane about their friggin hardwood floor in the living room.,1,Everyday Decision Making
"I'm busy, and that usually means I don't have time to think.",1,Everyday Decision Making
"I'm not sure if I'm just this unused to mornings now, or if the meatpuppet is upset about something.",1,Everyday Decision Making
I hate the Y. I always have to work soo much and I never have time to do anything.,1,Everyday Decision Making
whenever i get really upset or really excited i dont eat.,1,Everyday Decision Making
I am having trouble lately motivating myself to do the things I have to.,1,Everyday Decision Making
Christmas is such a busy season here.,0,Everyday Decision Making
"I'm not following my ""Whatch what I Eat "" or ""Eat Healthy"" because I didn't Work Out today and Ive been eating a little bit of junk food.",1,Everyday Decision Making
"I need to cook for you guys, you're getting too used to fast food.",0,Everyday Decision Making
Probably all the pressure at work and worrying about his job.,1,Everyday Decision Making
"I'm trying very hard not to spend money because I've been spending too much lately, which means eating up the food I already bought and not buying new stuff.",1,Everyday Decision Making
Although I feel bad spending it all on food.,1,Everyday Decision Making
I hate doing laundry since I work with clothes all day.,1,Everyday Decision Making
the roof was leaking all day at work my job is a life sucking horriblefest and i'm a loser for having been there so long.,1,Everyday Decision Making
Now back to the daily grind here at work!,0,Everyday Decision Making
"our friends don't come through, our finances are always wanting, and our appetite is never satisfied.",1,Everyday Decision Making
the problem is my computer is all screwy and it won't let me update from home.,1,Everyday Decision Making
One of the problems with all of this is that we have to struggle with this every day.,1,Everyday Decision Making
"I have 3 months of intense study ahead of me ,I'm looking foward to it emensely.",1,Everyday Decision Making
"Well, that's all for me. I need to try not to explode from eating too much this week!",0,Everyday Decision Making
It seems like things always just shit on you whenever you do anything.,1,Everyday Decision Making
how I have so much work to do and not enough time. Fuck.,1,Everyday Decision Making
"so the bathroom on the 1st floor in balentine is really really cold, like when you take a shower the moist air freezes to the windows! on the inside!",0,Everyday Decision Making
"Is that allowed? I'm going to need all the hours just to get it to stick together properly, I can see that already.",1,Everyday Decision Making
"i had dinner with pat tonight, but i'll go into detail tomorrow since i'm tired now.",1,Everyday Decision Making
Especially ones that you have to cover everyday.,0,Everyday Decision Making
"Not something I'm really looking forward to, but Gerry still hasn't called me back or responded to the emial I sent Wednesday, so whatever. I need money.",1,Everyday Decision Making
It's frustrating when I come home and Brett can't fully understand the choas I go through at work.,1,Everyday Decision Making
I mean talk about feeling like shit everyday !,1,Everyday Decision Making
there's no warm bath cause everyday's a cold shower.,1,Everyday Decision Making
"Oh yeah, and then there is christmas shopping and all that stuff, thats always stressful.",1,Everyday Decision Making
It's because I have far too much work to do and not enough time to do it in.,1,Everyday Decision Making
i am easily overwhelmed and can't get a goddamn thing done. ya,1,Everyday Decision Making
It's exhausting thinking every day that this is it.,1,Everyday Decision Making
"Usually whenever my friends are over for a dinner, my family always winds up fighting about something, but not tonight!",0,Everyday Decision Making
i'm actually really stressed about finding an apartment because i have to be moved out by dec.,1,Everyday Decision Making
"Moving house, getting married and becoming self employed are scary things.",1,Everyday Decision Making
"Most weekends, the biggest challenge comes with the decision whether to face ""undone"" stuff and a messy house or suffer a lack of true rest.",1,Everyday Decision Making
I'm trying not to go on every day.,1,Everyday Decision Making
Right now I've been sort of scrambling to get everything done on time.,1,Everyday Decision Making
"Schooling hours so long!? Ya, caused of this, I dreaded going home.",1,Everyday Decision Making
"I'll eat meat, but I don't like to have too much of it and I pretty much suck at cooking it.",0,Everyday Decision Making
Work has been stessful and other stuff has been even more stressful.,1,Everyday Decision Making
There are so many things I have to do and not enough time to do them.,1,Everyday Decision Making
"With Christmas coming, everything's been hectic.",1,Everyday Decision Making
I'm kind of worried about how I'm getting there every day.,1,Everyday Decision Making
My schedule is really busy. as of right now,1,Everyday Decision Making
Life is too much stress right now.,1,Everyday Decision Making
"i've just been thinking about things a lot lately i guess, and it all scares me.",1,Everyday Decision Making
"The growing stress of day to day life is growing explicitly, especially regarding my newfound internship.",1,Everyday Decision Making
I can't stop feeling anxious and angry that I'm being told I can't do it one I reach my expiry date.,1,Everyday Decision Making
i struggle with this daily.,1,Everyday Decision Making
"I was constantly in debt, and still didn't have a car worth driving, or a job that would help any of this.",1,Everyday Decision Making
The plates of food aren't nearly enough to make up for the fact that I have to deal with the family for a day.,1,Everyday Decision Making
"I had these veal and beef stuffed peppers, but then realized that there weren't enough carbs in my dinner.",0,Everyday Decision Making
Seriously considering moving in with my friend coz the house situation is getting rather stressful.,1,Everyday Decision Making
"Our stove is unuseable, so I don't know what to have for dinner.",1,Everyday Decision Making
"I think because work isn't stressful enough for me, I have to create more of it here at home before I leave for vacation.",1,Everyday Decision Making
blah blah blah. parents gone and kris and i dont know what to eat for dinner.,0,Everyday Decision Making
"I work hard, and I do exercises at home every day, but I still can't get my arm to go straight up.",1,Everyday Decision Making
That's the kind of thing that shoots through my mind while I have to make their food.,1,Everyday Decision Making
It seems like everyday just gets harder with out you by my side.,1,Everyday Decision Making
Everytime I have to pick my classes I have major issues with finalizing anything.,1,Everyday Decision Making
gettin this shit together has had me so stressed out lately.,1,Everyday Decision Making
I didn't know what to feed a gyrfalcon so I just grabbed a lot of meat.,0,Everyday Decision Making
A simple unwillingness to keep up with daily routine.,1,Everyday Decision Making
"Went to Giant and spent money i didnt have but i didnt care, i needed some food.",1,Everyday Decision Making
"i cook, but i cook for me, I'm hungry, shit.",0,Everyday Decision Making
"I know my job is not what gives me value, but it's painful going to work every day and feeling like I haven't contributed to anything.",1,Everyday Decision Making
I've done NOTHING today mostly because there is so much to do here at the house and I have no clue where to start.,1,Everyday Decision Making
I starting to feel a more or less stress over my assignments and it's kind of like I've completely no space for myself.,1,Everyday Decision Making
We're getting a bunch of work lately and tis STRESSING ME OUT.,1,Everyday Decision Making
Seeing them talk about the house and where things would go made my day and reminded me why I am killing myself with this schedule this week.,1,Everyday Decision Making
i have a ton things i have to do to outside of class and that sucks.,1,Everyday Decision Making
Spending too much time at work and not enough time at home.,1,Everyday Decision Making
I can't handle not being organized or having a plan.,1,Everyday Decision Making
you are so busy worrying about your daily lives that you do not care about the big picture.,1,Everyday Decision Making
Any restaurant that has crazy new rules you have to learn before you can handle eating there is obviously not spending enough time on the actual cooking.,0,Everyday Decision Making
A lot of you out there are having hardtimes and troubles in your lives and that is understandable too.,0,Everyday Decision Making
i've been thinking about it a lot lately. just picking up and leaving next year for college. away.,1,Everyday Decision Making
"oftentimes i have a lot of work I am doing and i am stressed just like Shane, i just do not say it out loud.",1,Everyday Decision Making
The usual stressor in my life.,1,Everyday Decision Making
everyday I feel like I have messed something up.,1,Everyday Decision Making
work is pissing me off more and more everyday.,1,Everyday Decision Making
"i didn't have time to make a lunch, and i'm trying my damndest to save my salad for dinner.",0,Everyday Decision Making
i am so stressed about so many things in my life right now.,1,Everyday Decision Making
"When day passes by each day, I'm feeling the kick of dreading to work.",1,Everyday Decision Making
everyday is getting harder.,1,Everyday Decision Making
"We have to move so much shit over to the new house, and my mom is becoming such a bitch.",1,Everyday Decision Making
"I wasnt even sure about spending dinner with them friday, I think a sleepover is not my first choice of activities while there.",1,Everyday Decision Making
"I don't feel like just sitting around in my apartment, like always, and do nothing.",0,Everyday Decision Making
The upkeep on the house is becoming too much for him and it's best to get into assisted living before you need nursing care.,1,Everyday Decision Making
Needless to say I was very upset yesterday.,1,Everyday Decision Making
My schedule at work always conflicted with things.,1,Everyday Decision Making
I know there is so much to do in this house but I just can't sit here and stare at these walls all day long.,1,Everyday Decision Making
"I've not been not eating because I've wanted to lose weight, and I still love awfully unhealthy food, I've just not felt like eating, if I've been hungry I've eaten.",1,Everyday Decision Making
Life has been so exhausting lately.,1,Everyday Decision Making
I worry about you being cooped up in the house all the time.,1,Everyday Decision Making
i need to work to buy equipt.,1,Everyday Decision Making
"I worked too much today, and got too stressed out today.",1,Everyday Decision Making
Suck part is Don is off today with me and i feel stressed already.,1,Everyday Decision Making
Busy is putting of biological needs such as eating and pooing because of a lack of time to devote to them.,1,Everyday Decision Making
its so busy now cause of christmas.,1,Everyday Decision Making
I find myself thinking on a day to day basis that it's not the good job or the comfortable stuff.,1,Everyday Decision Making
"On Friday I made coffee, read the paper, then called into work and left a voicemail for my boss saying I'd be out sick.",0,Everyday Decision Making
"i'm trying to get a grip on things, but when all of my life is a mess it's so damn hard.",1,Everyday Decision Making
"I am super tired, and I am trying to convince George to cook supper.",1,Everyday Decision Making
Last nite when I was out with Ryan having dinner I kept thinking about how I feel out of place being here in SJ.,1,Everyday Decision Making
"I suddenly find myself longing for the routine we had in Hawai'i, where our biggest concerns for the day were preparing, consuming and cleaning up meals.",1,Everyday Decision Making
Hard day at work and kind of tiring.,1,Everyday Decision Making
"My family is going to Virgina for thanksgiving, and I cant go because I have to fucking work! Sooo..",1,Everyday Decision Making
"i have to clean my house, between work and this damn outfit, it's a fucking mess.",1,Everyday Decision Making
i have to take a shower yet but it's freezing in my house.,0,Everyday Decision Making
"I had a lot of stress at home and school, with the added stress of work, and people that didn't take me seriously, it was just a bad year.",1,Everyday Decision Making
"Like when I said ""I'm stressed, so I'm eating.",1,Everyday Decision Making
i really dont kno what im going to eat for supper.,1,Everyday Decision Making
"i already have plans which is a definite plus, im sorta sick of sitting around my house all the time.",0,Everyday Decision Making
It seems like just about everything in my life requires all this patience and I just don't have it.,1,Everyday Decision Making
"I'm getting really frusterated with living at home, my family is driving me crazy.",1,Everyday Decision Making
IM REALLY HUNGRY AND THERES NO FOOD LEFT IN MY HOUSE CAUSE I ATE JUST ABOUT UH..ALL OF IT?,1,Everyday Decision Making
i've gotten really behind on keeping dishes washed.,1,Everyday Decision Making
i just had this huge projects due and i had to so a speech about it!!,1,Everyday Decision Making
"I have too much to do at work, no interest in it, and not enough direction.",1,Everyday Decision Making
"other than i miss all my friends.. and my car's brakes really need to be fixed, I'm not really allowed to drive it right now..",1,Everyday Decision Making
"Tony's cooking tonight, and he has absolutely no sense of taste.",1,Everyday Decision Making
I was extremely busy and I can't have lunch with my colleagues.,1,Everyday Decision Making
I've got so much work ahead of me its pretty scary.,1,Everyday Decision Making
They tend to keep me late at work so I miss dinner so I need to stock up in my room more!,1,Everyday Decision Making
i don't know how i am gonna do dinner tonight.,1,Everyday Decision Making
It's hard to put into words the different emotions and thoughts that run through my head on a daily basis.,1,Everyday Decision Making
everytime i think something is done with i find out there's another problem to have to deal with.,1,Everyday Decision Making
"oh yes, I love to make dinner! but the part of my day that made me mad, is that I don't have a license. I feel horrible about it.",1,Everyday Decision Making
I spent an inordinate amount of time on trying to figure out what I want to do with the next three years of my life.,1,Everyday Decision Making
"Me and Christine's room keeps getting emptier because we've been taking a lot of stuff home, which is sad.",1,Everyday Decision Making
It gives me a lot of time to get my Christmas shopping done.,0,Everyday Decision Making
"I think it's most because of stress from work, because, beleive it or not, my job IS stressful.",1,Everyday Decision Making
"I get the feeling that no matter where I go next year for college, that I'll have to work my way through college.",1,Everyday Decision Making
ONE WAY just to have dinner with a bunch of people I don't like and my mom and bro?,1,Everyday Decision Making
At work the current project is finishing off and will soon be winding down.,0,Everyday Decision Making
a lot of stuff has been bothering me lately. one would be my work situation.,1,Everyday Decision Making
One of my struggles with my new independant lifestyle is making meals.,1,Everyday Decision Making
I've been having such a hard time concentrating at work since Lauren died and now I've got more on my mind.,1,Everyday Decision Making
christmas is coming very fast at work and we're so busy all the time and we're still understaffed.,1,Everyday Decision Making
"This is hard, not being reciprocated and on a regular basis.",1,Everyday Decision Making
You always have a million things to do and never enough time to do them.,1,Everyday Decision Making
"I don't really like people, so shopping on one of the biggest shopping days of the year doesn't sound like very much fun to me.",1,Everyday Decision Making
Dan started stressing me out about our apartment situation right in the middle of my project doing. DAN!!!!!!,1,Everyday Decision Making
I feel like I exhaust myself every day with the immensely difficult effort I make not to cry.,1,Everyday Decision Making
Well as i'm frantically trying to prepare my temporary fill in for work when i'm gone i'm realizing how much work I am going to have..,1,Everyday Decision Making
im so hungry and im waiting for my totinos to finish cooking lol xoxox,0,Everyday Decision Making
It wasn't enough that I'm already having difficulties eating meat.,1,Everyday Decision Making
"My car does not understand ""right of way,"" and neither do my slowed reflexes after a tiresome day at work.",1,Everyday Decision Making
OK big problem with working today..,1,Everyday Decision Making
"Ecept on of the managers is always asking why I'm not eating and I always say something like ""I had a big breakfast"" or ""I'm going out after work"".",1,Everyday Decision Making
"i need to get shitfaced tomorrow i have no classes tomorrow, weee.",0,Everyday Decision Making
"Have three weeks to kill soon, and need a plan.",0,Everyday Decision Making
Im a little worried cause I still feel like I have a heap of things to do before I go tomorrow.,1,Everyday Decision Making
All this talk about cleaning my room is getting me tired already.,1,Everyday Decision Making
my room is messy and i have to do laundry before work. and,1,Everyday Decision Making
I have to have dinner with the family tonight and that takes a LONG time.,1,Everyday Decision Making
"Well, that and the fact that this will be over before I know it since time flies when you're really busy.",1,Everyday Decision Making
"life in general, is emotionally difficult lately.",1,Everyday Decision Making
I spent a lot of today being pretty stressed out.,1,Everyday Decision Making
"My phone lost service and we filled the tub with cold water, sticking our feet or hands in it every so often.",1,Everyday Decision Making
I need to get rid of the clutter in my life and that starts in my home.,0,Everyday Decision Making
im the one makin all the effort for everything all the time and its never good enough for anyone.,1,Everyday Decision Making
i have lots of other things on my mind which i'm trying to get done and everything's just piling up in the next few days..,1,Everyday Decision Making
I have a crapload of STUFF to do and I can't slack off.,1,Everyday Decision Making
i've been kinda down lately. and stressed. really stressed. there's just been a lot of stuff going on lately and,1,Everyday Decision Making
i don't have time to eat dinner tonight.,1,Everyday Decision Making
we can't eat the whole time.,0,Everyday Decision Making
Today at work was stressful.,1,Everyday Decision Making
Been so busy with work and to tired when I get home to do anything.,1,Everyday Decision Making
"I got a package from mommy and my evening is rounding out nicely, but I haven't seen Andy all day and I think he's still not talking to me.",1,Everyday Decision Making
I've been whatching the food channel and its making me so hungry but we dont have much of anything in the house.,1,Everyday Decision Making
Life has been incredibly stressful lately.,1,Everyday Decision Making
I wasn't going to be able to keep up with all the work I had on my plate.,1,Everyday Decision Making
I worry all the time about completing my assignments.,1,Everyday Decision Making
There just isn't enough time in the week and the day to work on me.,1,Everyday Decision Making
i can't wait to be home. all this being on the road nonsense is driving me nuts.,1,Everyday Decision Making
"Tonight, dinner wasn't ready when I got home and I had to make it.",1,Everyday Decision Making
"My parents order so much food when we go out for meals, it kills me.",1,Everyday Decision Making
It's gonna be hard adjusting to not seeing them every day.,1,Everyday Decision Making
i hate that we have a new one due every two weeks.,1,Everyday Decision Making
thinking too much is tiring and worrisome when you have nothing else to do but work work work. right now,1,Everyday Decision Making
"Yes, I'm Stressed. I have to pack up an office that's so full of crap that I can hardly get to my wheelie chair.",1,Everyday Decision Making
"no matter what I was doing in terms of our roaming and eating routine, I was not able to gain a complete control over it.",1,Everyday Decision Making
"Junk food is pretty much all I've been eating, but I don't want that.",1,Everyday Decision Making
"This project has been delayed numerous times, and it's one of the items always brought up against me in meetings.",1,Everyday Decision Making
"Some things honestly are not worth your energy, nor the time of day of the other person involved.",1,Everyday Decision Making
I feel so stressed out in deciding what to do with my life.,1,Everyday Decision Making
i didn't get a break and now im starving and i dont wanna fix nothin to eat cuz im a lazy bum.,1,Everyday Decision Making
it's always those times when you have SO much on your mind that it's hard to write one because you don't know where to start.,1,Everyday Decision Making
"the sad thing is, i'm leaving real soon.",1,Everyday Decision Making
I've taken up the difficult and tedious task of cleaning my room.,0,Everyday Decision Making
"it'll be three consecutive days off of work, which I desperately need.",0,Everyday Decision Making
I don't know what to eat for dinner.,0,Everyday Decision Making
The mandals are all in a hurry to be ready in time.,1,Everyday Decision Making
We had a lot to do and not enough time to finish it all.,1,Everyday Decision Making
I'm finding I'm having a lot of trouble carrying that over into my current routine.,1,Everyday Decision Making
I'm so worried all the time I can't relax.,1,Everyday Decision Making
"i work too much and when i get out i'm too tired to function, plus everyone always has plans.",1,Everyday Decision Making
I'm not good at witting down every thing I eat or all the exercising that I do.,1,Everyday Decision Making
There's even just so much to get done in the next two weeks and I'm losing steam.,1,Everyday Decision Making
"I've got so much work to catch up on at home here, and this week is going to be hectic at the job as well.",1,Everyday Decision Making
"Out of frustration, I can get impatient with this, especially when it happens multiple times a day, every day.",1,Everyday Decision Making
Life is no fun when you have to be worried about so many things.,1,Everyday Decision Making
